symbol,name
159851,金融科技ETF华宝
515790,光伏ETF华泰柏瑞
159363,创业板人工智能ETF华宝
159761,新材料ETF国泰
159720,智能车ETF泰康
159991,创业板大盘ETF招商
588220,科创100ETF鹏华
516590,智能汽车ETF易方达
515700,新能源车ETF平安
159852,软件ETF嘉实
159259,成长ETF易方达
512670,国防ETF鹏华
159967,创业板成长ETF华夏
159806,新能源车ETF国泰
515030,新能源车ETF华夏
516660,新能源车ETF华安
159502,标普生物科技ETF嘉实
159227,航空航天ETF华夏
159583,通信ETF富国
159755,电池ETF广发
516520,智能驾驶ETF华泰柏瑞
562800,稀有金属ETF嘉实
159804,创中盘88ETF国寿
561800,稀有金属ETF华富
159840,锂电池ETF工银
159218,卫星ETF招商
515050,通信ETF华夏
563320,通用航空ETF华泰柏瑞
513290,纳指生物科技ETF汇添富
516150,稀土ETF嘉实
159196,港股通信息技术ETF易方达
516780,稀土ETF华泰柏瑞
526000,港股通信息技术ETF华夏
159732,消费电子ETF华夏
159131,港股通信息技术ETF华宝
159786,VRETF银华
515880,UC通信ETF国泰
159667,工业母机ETF国泰
159206,卫星ETF永赢
562500,机器人ETF华夏
159530,机器人ETF易方达
159278,机器人ETF鹏华
159272,机器人ETF富国
511380,511380
501018,501018
161226,161226
515570,515570
515690,515690
