date,log_date_ths,time_ths,target_ths,target_raw_ths,top10_raw_ths,top1_ths,log_date_jq,time_jq,target_jq,target_raw_jq,top10_raw_jq,top1_jq,target_match,top1_match,top10_overlap
2020-03-30,2020-03-30,13:10:00,159985,159985.SZ,159985.SZ:1.0947,159985,2020-03-30,13:10:00,159985,159985.XSHE,159985.XSHE:0.9689,159985,True,True,1
2020-03-31,2020-03-31,13:10:00,159985,159985.SZ,159985.SZ:1.1094,159985,2020-03-31,13:10:00,159985,159985.XSHE,159985.XSHE:1.0282,159985,True,True,1
2020-04-01,2020-04-01,13:10:00,511880,511880.SH,,,2020-04-01,13:10:00,511880,511880.XSHG,,,True,True,0
2020-04-02,2020-04-02,13:10:00,159985,159985.SZ,159985.SZ:0.5160,159985,2020-04-02,13:10:00,511880,511880.XSHG,,,False,False,0
2020-04-03,2020-04-03,13:10:00,511880,511880.SH,,,2020-04-03,13:10:00,159985,159985.XSHE,159985.XSHE:0.4445,159985,False,False,0
2020-04-07,2020-04-07,13:10:00,511880,511880.SH,,,2020-04-07,13:10:00,511880,511880.XSHG,,,True,True,0
2020-04-08,2020-04-08,13:10:00,511880,511880.SH,,,2020-04-08,13:10:00,511880,511880.XSHG,,,True,True,0
2020-04-09,2020-04-09,13:10:00,511880,511880.SH,,,2020-04-09,13:10:00,511880,511880.XSHG,,,True,True,0
2020-04-10,2020-04-10,13:10:00,511880,511880.SH,,,2020-04-10,13:10:00,511880,511880.XSHG,,,True,True,0
2020-04-13,2020-04-13,13:10:00,511880,511880.SH,,,2020-04-13,13:10:00,511880,511880.XSHG,,,True,True,0
2020-04-14,2020-04-14,13:10:00,512010,512010.SH,"512010.SH:1.4441,159928.SZ:0.8784,518880.SH:0.6166",512010,2020-04-14,13:10:00,512010,512010.XSHG,512010.XSHG:0.8353,512010,True,True,1
2020-04-15,2020-04-15,13:10:00,512010,512010.SH,"512010.SH:2.3143,159928.SZ:1.4176,512170.SH:1.1060,513520.SH:0.9439,518880.SH:0.8814",512010,2020-04-15,13:10:00,512010,512010.XSHG,"512010.XSHG:1.4819,159928.XSHE:0.9055,518880.XSHG:0.6138",512010,True,True,3
2020-04-16,2020-04-16,13:10:00,512010,512010.SH,"512010.SH:3.0593,512170.SH:2.2207,159928.SZ:1.7795,513520.SH:1.6764,518880.SH:1.2540,512690.SH:1.0357,159967.SZ:0.7964,510900.SH:0.6658,501018.SH:0.5093",512010,2020-04-16,13:10:00,512010,512010.XSHG,"512010.XSHG:2.3085,159928.XSHE:1.2885,512170.XSHG:1.2212,518880.XSHG:0.8545",512010,True,True,4
2020-04-17,2020-04-17,13:10:00,512010,512010.SH,"512010.SH:3.3719,512170.SH:3.0189,513520.SH:2.9709,159928.SZ:2.3700,513030.SH:2.0875,512690.SH:1.8833,159967.SZ:1.5478,518880.SH:1.3963,513500.SH:1.2657,510900.SH:1.0681",512010,2020-04-17,13:10:00,512010,512010.XSHG,"512010.XSHG:3.1259,512170.XSHG:2.2541,159928.XSHE:2.0049,513520.XSHG:1.9859,512690.XSHG:1.2428,518880.XSHG:1.2102,159967.XSHE:0.9495,510900.XSHG:0.7992,513500.XSHG:0.6445,501018.XSHG:0.5021",512010,True,True,9
2020-04-20,2020-04-20,13:10:00,512170,512170.SH,"512170.SH:4.3331,513520.SH:3.4372,513030.SH:3.4121,512010.SH:3.3819,159928.SZ:2.5534,512690.SH:2.3527,159967.SZ:2.2380,513500.SH:1.8617,518880.SH:1.2122,161226.SZ:1.1835",512170,2020-04-20,13:10:00,512010,512010.XSHG,"512010.XSHG:3.3958,512170.XSHG:3.2933,513520.XSHG:2.8976,159928.XSHE:2.3329,513030.XSHG:2.1546,512690.XSHG:1.7741,159967.XSHE:1.5367,518880.XSHG:1.3001,513500.XSHG:1.2552,510900.XSHG:1.0269",512010,False,False,9
2020-04-21,2020-04-21,13:10:00,512170,512170.SH,"512170.SH:4.0715,513030.SH:3.1024,513520.SH:2.6432,512010.SH:2.6331,159967.SZ:2.0627,159928.SZ:1.9812,512690.SH:1.9745,513500.SH:1.7838,161226.SZ:1.6761,159949.SZ:1.1503",512170,2020-04-21,13:10:00,512170,512170.XSHG,"512170.XSHG:3.9100,513520.XSHG:3.0926,512010.XSHG:3.0598,513030.XSHG:2.9387,159928.XSHE:2.3027,512690.XSHG:2.0291,159967.XSHE:2.0238,513500.XSHG:1.6125,518880.XSHG:1.2648,161226.XSHE:1.1586",512170,True,True,9
2020-04-22,2020-04-22,13:10:00,512170,512170.SH,"512170.SH:4.2864,512010.SH:2.6918,513030.SH:2.5644,159928.SZ:2.3305,159967.SZ:2.2790,513520.SH:1.9381,513500.SH:1.5391,159949.SZ:1.4468,159915.SZ:1.2084,513100.SH:0.9527",512170,2020-04-22,13:10:00,512170,512170.XSHG,"512170.XSHG:4.2543,512010.XSHG:2.9062,513030.XSHG:2.8023,513520.XSHG:2.4524,159928.XSHE:2.4103,512690.XSHG:2.3571,159967.XSHE:2.1976,513500.XSHG:1.6069,159949.XSHE:1.2176,518880.XSHG:1.1257",512170,True,True,8
2020-04-23,2020-04-23,13:10:00,512170,512170.SH,"512170.SH:4.4296,512010.SH:2.5321,512690.SH:2.4766,159928.SZ:2.3722,513030.SH:2.2889,159967.SZ:2.2866,513520.SH:1.6661,159949.SZ:1.5822,513500.SH:1.5321,513100.SH:1.3244",512170,2020-04-23,13:10:00,512170,512170.XSHG,"512170.XSHG:4.6164,512010.XSHG:2.8582,513030.XSHG:2.8477,512690.XSHG:2.6077,159928.XSHE:2.5102,159967.XSHE:2.3886,513520.XSHG:2.1023,513500.XSHG:1.7201,159949.XSHE:1.5334,159915.XSHE:1.2733",512170,True,True,9
2020-04-24,2020-04-24,13:10:00,512170,512170.SH,"512170.SH:3.2079,512690.SH:2.5002,159928.SZ:2.1462,159967.SZ:1.8236,513100.SH:1.5007,159949.SZ:1.3539,513030.SH:1.3055,513500.SH:1.1582,513520.SH:1.1568,159915.SZ:1.1273",512170,2020-04-24,13:10:00,512170,512170.XSHG,"512170.XSHG:3.9695,512690.XSHG:2.6919,159928.XSHE:2.3722,512010.XSHG:2.3541,159967.XSHE:2.1189,513030.XSHG:2.0458,513520.XSHG:1.5886,159949.XSHE:1.4341,513500.XSHG:1.4231,513100.XSHG:1.3052",512170,True,True,9
2020-04-27,2020-04-27,13:10:00,513100,513100.SH,"513100.SH:2.3691,513500.SH:1.4742,513520.SH:1.2613,159980.SZ:1.2588,518880.SH:0.6840,161226.SZ:0.6384",513100,2020-04-27,13:10:00,513100,513100.XSHG,"513100.XSHG:1.7056,513500.XSHG:1.4457,513520.XSHG:1.4359,159980.XSHE:1.1908,161226.XSHE:0.9552,518880.XSHG:0.7974",513100,True,True,6
